clean,corrupted,clean_word,corrupted_word
The book on the shelves,The books on the shelf,"is, was, has, 's","are, were, have, 've"
The books on the shelf,The book on the shelves,"are, were, have, 've","is, was, has, 's"
A cat under the trees,Cats under the tree,"sits, jumps, sleeps","sit, jump, sleep"
Cats under the tree,A cat under the trees,"sit, jump, sleep","sits, jumps, sleeps"
The apple in the baskets,The apples in the basket,"is, was, has, 's","are, were, have, 've"
The apples in the basket,The apple in the baskets,"are, were, have, 've","is, was, has, 's"
A dog beside the cars,Dogs beside the car,"runs, barks, stands","run, bark, stand"
Dogs beside the car,A dog beside the cars,"run, bark, stand","runs, barks, stands"
The painting on the walls,The paintings on the wall,"looks, appears, hangs","look, appear, hang"
The paintings on the wall,The painting on the walls,"look, appear, hang","looks, appears, hangs"
The chair by the tables,The chairs by the table,"is, was, has, 's","are, were, have, 've"
The chairs by the table,The chair by the tables,"are, were, have, 've","is, was, has, 's"
A lamp over the desks,Lamps over the desk,"shines, illuminates, stands","shine, illuminate, stand"
Lamps over the desk,A lamp over the desks,"shine, illuminate, stand","shines, illuminates, stands"
The tree near the roads,The trees near the road,"stands, grows, sways","stand, grow, sway"
The trees near the road,The tree near the roads,"stand, grow, sway","stands, grows, sways"
A phone on the tables,Phones on the table,"rings, vibrates, sits","ring, vibrate, sit"
Phones on the table,A phone on the tables,"ring, vibrate, sit","rings, vibrates, sits"
The statue in the gardens,The statues in the garden,"stands, is, was","stand, are, were"
The statues in the garden,The statue in the gardens,"stand, are, were","stands, is, was"
The clock above the doors,The clocks above the door,"ticks, shows, moves","tick, show, move"
The clocks above the door,The clock above the doors,"tick, show, move","ticks, shows, moves"
A picture on the windows,Pictures on the window,"shows, hangs, appears","show, hang, appear"
Pictures on the window,A picture on the windows,"show, hang, appear","shows, hangs, appears"
The flower in the vases,The flowers in the vase,"blooms, stands, is","bloom, stand, are"
The flowers in the vase,The flower in the vases,"bloom, stand, are","blooms, stands, is"
A fish in the tanks,Fish in the tank,"swims, floats, rests","swim, float, rest"
Fish in the tank,A fish in the tanks,"swim, float, rest","swims, floats, rests"
The leaf on the branches,The leaves on the branch,"falls, is, was","fall, are, were"
The leaves on the branch,The leaf on the branches,"fall, are, were","falls, is, was"
A pen under the papers,Pens under the paper,"writes, is, was","write, are, were"
Pens under the paper,A pen under the papers,"write, are, were","writes, is, was"
The star in the skies,The stars in the sky,"shines, is, was","shine, are, were"
The stars in the sky,The star in the skies,"shine, are, were","shines, is, was"
A horse in the pastures,Horses in the pasture,"runs, grazes, stands","run, graze, stand"
Horses in the pasture,A horse in the pastures,"run, graze, stand","runs, grazes, stands"
The shoe on the shelves,The shoes on the shelf,"fits, is, was","fit, are, were"
The shoes on the shelf,The shoe on the shelves,"fit, are, were","fits, is, was"
A bird in the cages,Birds in the cage,"sings, sits, flies","sing, sit, fly"
Birds in the cage,A bird in the cages,"sing, sit, fly","sings, sits, flies"
The glass on the tables,The glasses on the table,"breaks, is, was","break, are, were"
The glasses on the table,The glass on the tables,"break, are, were","breaks, is, was"
