clean,corrupted,correct_token,incorrect_token,transitive_verb,intransitive_verb,template,template_text
When the teacher frightened the child who told bad jokes,When the teacher hesitated the child who told bad jokes,for,was,frightened,hesitated,garden_npz_v-trans_mod,When the {subj} {verb} the {obj} who {rel}
When the teacher hesitated the child who told bad jokes,When the teacher frightened the child who told bad jokes,was,for,frightened,hesitated,garden_npz_v-trans_mod,When the {subj} {verb} the {obj} who {rel}
While the tourist warned the singer who made a mistake,While the tourist waited the singer who made a mistake,for,was,warned,waited,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
While the tourist waited the singer who made a mistake,While the tourist warned the singer who made a mistake,was,for,warned,waited,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
While the sailor warned the gardener who missed the train,While the sailor collapsed the gardener who missed the train,for,was,warned,collapsed,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
While the sailor collapsed the gardener who missed the train,While the sailor warned the gardener who missed the train,was,for,warned,collapsed,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
While the student warned the writer who spoke too softly,While the student vanished the writer who spoke too softly,for,was,warned,vanished,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
While the student vanished the writer who spoke too softly,While the student warned the writer who spoke too softly,was,for,warned,vanished,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
When the tourist called the writer who shouted too loud,When the tourist smiled the writer who shouted too loud,for,was,called,smiled,garden_npz_v-trans_mod,When the {subj} {verb} the {obj} who {rel}
When the tourist smiled the writer who shouted too loud,When the tourist called the writer who shouted too loud,was,for,called,smiled,garden_npz_v-trans_mod,When the {subj} {verb} the {obj} who {rel}
After the soldier supported the doctor who broke the rule,After the soldier sighed the doctor who broke the rule,for,was,supported,sighed,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
After the soldier sighed the doctor who broke the rule,After the soldier supported the doctor who broke the rule,was,for,supported,sighed,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
While the criminal surprised the man who called the office,While the criminal paused the man who called the office,for,was,surprised,paused,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
While the criminal paused the man who called the office,While the criminal surprised the man who called the office,was,for,surprised,paused,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
While the criminal warned the driver who missed the train,While the criminal waited the driver who missed the train,for,was,warned,waited,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
While the criminal waited the driver who missed the train,While the criminal warned the driver who missed the train,was,for,warned,waited,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
